Category: All categories

Week,prompt engineering: (Worldwide)
2022-05-22,1
2022-05-29,3
2022-06-05,1
2022-06-12,0
2022-06-19,2
2022-06-26,0
2022-07-03,2
2022-07-10,2
2022-07-17,1
2022-07-24,0
2022-07-31,2
2022-08-07,2
2022-08-14,3
2022-08-21,2
2022-08-28,3
2022-09-04,4
2022-09-11,2
2022-09-18,4
2022-09-25,3
2022-10-02,3
2022-10-09,4
2022-10-16,4
2022-10-23,2
2022-10-30,3
2022-11-06,1
2022-11-13,3
2022-11-20,2
2022-11-27,3
2022-12-04,5
2022-12-11,4
2022-12-18,5
2022-12-25,5
2023-01-01,6
2023-01-08,9
2023-01-15,14
2023-01-22,20
2023-01-29,21
2023-02-05,17
2023-02-12,21
2023-02-19,39
2023-02-26,40
2023-03-05,40
2023-03-12,37
2023-03-19,55
2023-03-26,81
2023-04-02,100
2023-04-09,78
2023-04-16,67
2023-04-23,72
2023-04-30,81
2023-05-07,79
2023-05-14,91
